Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
04-04-2007,923.7,949.5,923.7,935.6,938.4620028,413623,10240,388169469,28541,6.9,25.8,11.9
03-04-2007,931.1,947.4,915.1,926.75,930.7146121,621137,15194,578101282,115960,18.67,32.3,-4.35
02-04-2007,958.65,961,925,930.25,934.1938769,516049,11825,482089816,98436,19.07,36,-28.4
30-03-2007,1000,1003.95,987.05,992.9,995.2836167,388475,9502,386642803,44068,11.34,16.9,-7.1
29-03-2007,973,1003,958,986.45,971.9528384,461901,12836,448945988,61366,13.29,45,13.45
28-03-2007,1007.65,1009,966,974.2,987.9882781,435596,8756,430363742,91622,21.03,43,-33.45
26-03-2007,1029.9,1104.9,1009.05,1013.6,1024.480592,381775,8884,391121078,65237,17.09,95.85,-16.3
23-03-2007,1031,1042.4,1013.9,1027.1,1027.533326,484085,13283,497413470,60499,12.5,28.5,-3.9
22-03-2007,993.9,1034,992,1028.5,1018.156121,1095935,20490,1115832929,288531,26.33,42,34.6
21-03-2007,957,987.5,945.1,982.15,969.0558481,560914,14865,543556992,42190,7.52,42.4,25.15
20-03-2007,936.5,959.85,932,952.6,946.209325,553245,11651,523485578,44360,8.02,27.85,16.1
19-03-2007,940.55,940.55,907.6,928.3,921.1094293,442770,9883,407839622,40973,9.25,32.95,-12.25
16-03-2007,845,928.9,845,914.4,913.8573783,854919,19105,781274036,71642,8.38,83.9,69.4
15-03-2007,955,964.95,917.55,921.9,940.3582254,770635,18524,724672961,77743,10.09,47.4,-33.1
14-03-2007,962,964,943,947.5,954.1228929,366254,9126,349451326,103668,28.3,21,-14.5
13-03-2007,978.7,989.65,968.5,980.7,978.3301698,373311,9510,365221414,50657,13.57,21.15,2
12-03-2007,996.9,1000,974.6,976.8,986.9281439,430082,9943,424460030,37647,8.75,25.4,-20.1
09-03-2007,1004.4,1024,975.5,984.05,997.9885352,722995,16907,721540721,34561,4.78,48.5,-20.35
08-03-2007,970.55,1010,963.15,1000.3,990.4236187,844559,15232,836471181,150720,17.85,46.85,29.75
07-03-2007,1004.45,1004.45,947,964.5,977.3641464,498025,10588,486751779,79433,15.95,57.45,-39.95
06-03-2007,980,998,965.5,991.2,984.4026068,450365,11606,443340480,26962,5.99,32.5,11.2
05-03-2007,991,999,955.25,962.35,976.0195374,752813,16600,734760196,174080,23.12,43.75,-28.65
02-03-2007,1050,1074.9,999,1008.45,1043.751591,589444,14662,615233113,65805,11.16,75.9,-41.55
01-03-2007,1039,1059.7,1016.5,1052.55,1037.634873,519887,12964,539452881,48488,9.33,43.2,13.55
28-02-2007,1030.55,1098.8,1009.9,1039.15,1056.833938,882960,20962,933142094,95861,10.86,88.9,8.6
27-02-2007,1095,1111,1063,1068.75,1080.809304,513955,9627,555487346,76849,14.95,48,-26.25
26-02-2007,1069.8,1109,1044,1088.75,1069.187533,380039,8205,406332961,71519,18.82,65,18.95
23-02-2007,1085,1085,1042.25,1058.4,1062.256301,546068,9955,580064174,121413,22.23,42.75,-26.6
22-02-2007,1105,1112.9,1070,1079.7,1088.694567,364093,7661,396386071,82330,22.61,42.9,-25.3
21-02-2007,1105,1117.7,1090.5,1106.4,1105.80511,346010,6902,382619626,45654,13.19,27.2,1.4
20-02-2007,1135,1148,1101.3,1106.3,1124.823338,280134,5187,315101261,30860,11.02,46.7,-28.7
19-02-2007,1132,1139,1118.6,1130.7,1131.247288,231107,4780,261439167,24563,10.63,20.4,-1.3
15-02-2007,1108.7,1127,1108.7,1123.15,1120.046973,249528,5904,279483081,34726,13.92,18.3,14.45
14-02-2007,1134.95,1158,1085.55,1101.25,1101.414778,832498,15364,916925600,132460,15.91,72.45,-33.7
13-02-2007,1178,1198.7,1157.55,1172.7,1184.161274,342286,6544,405321826,34330,10.03,41.15,-5.3
12-02-2007,1190,1200,1172.2,1181.85,1186.635285,418456,6580,496554655,65543,15.66,27.8,-8.15
09-02-2007,1205,1219,1179,1197.65,1196.099017,515004,7211,615995778,22523,4.37,40,-7.35
08-02-2007,1200,1219,1192.15,1204.6,1205.329513,392986,8153,473677624,87754,22.33,26.85,4.6
07-02-2007,1197,1203.9,1186.3,1196.7,1196.116109,223868,4554,267772121,20571,9.19,17.6,-0.3
06-02-2007,1207,1210,1191,1195.8,1201.144135,319069,6295,383247858,36502,11.44,19,-11.2
05-02-2007,1186.1,1207.9,1171.25,1196.8,1195.384837,487617,9527,582889968,112552,23.08,36.65,10.7
02-02-2007,1221,1226.5,1175.15,1181.35,1196.747899,610013,13235,730031776,85979,14.09,51.35,-39.65
01-02-2007,1140,1229,1138.05,1203.1,1191.235483,1218268,22233,1451244069,120007,9.85,90.95,63.1
31-01-2007,1156,1178.9,1133,1138.05,1154.290124,717390,12274,828076192,147551,20.57,45.9,-17.95
29-01-2007,1176,1183.7,1151,1155.4,1167.250746,244427,4748,285307598,58170,23.8,32.7,-20.6
25-01-2007,1175,1199.7,1161.6,1175.8,1171.540108,343307,5829,402197920,94385,27.49,38.1,0.8
24-01-2007,1180,1189.9,1149.55,1172.95,1167.061184,482529,10669,563140866,70943,14.7,40.35,-7.05
23-01-2007,1225,1232,1167.35,1173.95,1190.810304,973282,15650,1158994234,216079,22.2,64.65,-51.05
22-01-2007,1222,1233,1218.5,1224.2,1224.970792,158485,3360,194139496,14886,9.39,14.5,2.2
19-01-2007,1250,1250,1210.6,1221.4,1223.723231,270984,5560,331609416,24637,9.09,39.4,-28.6
18-01-2007,1230,1254.75,1225,1231.6,1239.517172,346558,7268,429564592,96718,27.91,29.75,1.6
17-01-2007,1210,1233.2,1210,1222.75,1224.130471,345976,5924,423519764,117732,34.03,23.2,12.75
16-01-2007,1228,1236.9,1204.35,1209.25,1218.674797,327774,6446,399449913,55011,16.78,32.55,-18.75
15-01-2007,1230,1234.9,1209.15,1222,1222.85201,298642,6832,365194970,42108,14.1,25.75,-8
12-01-2007,1199.9,1234.9,1163,1223.45,1218.125844,582667,11985,709761731,97570,16.75,71.9,23.55
11-01-2007,1145,1157.8,1126.5,1150,1147.470303,596505,8587,684471773,171271,28.71,31.3,5
10-01-2007,1176,1180,1132.35,1136.9,1152.820015,422479,8950,487042247,89427,21.17,47.65,-39.1
09-01-2007,1215,1225,1170.1,1174.5,1195.38556,576691,9172,689368094,135642,23.52,54.9,-40.5
08-01-2007,1244,1244,1207.1,1212.9,1224.774387,259856,4812,318264973,58583,22.54,36.9,-31.1
05-01-2007,1245,1257.65,1234.1,1244.3,1245.86502,379945,5443,473360185,93953,24.73,23.55,-0.7
04-01-2007,1267,1280,1240.1,1243.75,1260.712727,232998,4459,293743544,34497,14.81,39.9,-23.25
03-01-2007,1255,1269,1240,1265.15,1262.982776,191472,4306,241825838,49292,25.74,29,10.15
02-01-2007,1247,1259.5,1242.3,1254.1,1251.995356,126400,2638,158252213,21397,16.93,17.2,7.1
29-12-2006,1248,1255,1237,1245.9,1245.634745,198379,4143,247107775,28224,14.23,18,-2.1
28-12-2006,1255.55,1260,1233,1236.05,1243.482137,269770,4496,335454176,73920,27.4,27,-19.5
27-12-2006,1255,1266,1246.55,1250.85,1258.355487,249565,5980,314041487,46707,18.72,19.45,-4.15
26-12-2006,1220,1249,1210,1245.9,1238.384669,347283,6623,430069943,60164,17.32,39,25.9
22-12-2006,1215,1225,1206.1,1214.05,1215.759673,311921,5704,379220973,89266,28.62,18.9,-0.95
21-12-2006,1232.5,1232.5,1195,1211.2,1213.055357,605185,11255,734122906,118657,19.61,37.5,-21.3
20-12-2006,1239.8,1258,1205,1216.3,1233.861589,542840,12603,669789425,46105,8.49,53,-23.5
19-12-2006,1265,1279.4,1215.6,1228.75,1249.390057,839409,15342,1048749258,120590,14.37,63.8,-36.25
18-12-2006,1272,1281,1208.6,1268.35,1252.673127,845259,18086,1058833235,39804,4.71,72.4,-3.65
15-12-2006,1230,1275,1224,1264.45,1250.826813,390854,8298,488890663,36639,9.37,51,34.45
14-12-2006,1233,1240,1215,1222.95,1230.583702,385539,8578,474438010,50348,13.06,25,-10.05
13-12-2006,1183,1234,1179.85,1228.05,1211.421861,689934,12451,835801130,155166,22.49,54.15,45.05
12-12-2006,1242.75,1249.4,1165.05,1179.85,1205.822198,939733,18078,1133150912,113009,12.03,84.35,-62.9
11-12-2006,1340,1340,1230,1242.75,1271.101385,1063336,18186,1351607862,180628,16.99,110,-97.25
08-12-2006,1347,1368,1335.25,1353.5,1358.395097,518429,9051,704231412,53981,10.41,32.75,6.5
07-12-2006,1344,1354.5,1332.25,1346.2,1345.677175,342449,6818,460825803,24581,7.18,22.25,2.2
06-12-2006,1340,1355,1332,1338.1,1342.502448,318047,6127,426978876,34404,10.82,23,-1.9
05-12-2006,1359.8,1364.9,1334.55,1337.1,1346.893025,345941,7149,465945520,28490,8.24,30.35,-22.7
04-12-2006,1365.2,1378.7,1346,1350.4,1361.501975,378535,7097,515376150,61608,16.28,32.7,-14.8
01-12-2006,1314,1370,1313.05,1360.2,1349.094711,570209,11215,769265946,54637,9.58,56.95,46.2
30-11-2006,1305,1323,1304,1314,1314.486318,279352,5806,367204382,22918,8.2,19,9
29-11-2006,1295.1,1324.7,1289,1301.25,1309.888672,546080,11206,715304006,83187,15.23,35.7,6.15
28-11-2006,1265.15,1297.8,1261.55,1293.45,1279.525145,428689,8415,548518355,39810,9.29,36.25,28.3
27-11-2006,1256,1282.9,1255.75,1276.6,1270.042889,321436,5284,408237506,44457,13.83,27.15,20.6
24-11-2006,1243.5,1262,1243.5,1255.6,1255.749714,331137,5064,415825193,74620,22.53,18.5,12.1
23-11-2006,1250,1263,1240.1,1253.3,1251.824266,513224,9643,642466257,60817,11.85,22.9,3.3
22-11-2006,1233,1256.65,1230,1248.95,1247.02357,427909,7409,533612609,95936,22.42,26.65,15.95
21-11-2006,1210,1244,1208.1,1233.85,1227.082465,327144,6717,401432666,28679,8.77,35.9,23.85
20-11-2006,1201,1220.4,1180,1209.25,1205.251573,671721,10570,809592792,129985,19.35,40.4,8.25
17-11-2006,1215,1241,1205.1,1224.9,1224.96255,1022249,18552,1252216742,39732,3.89,35.9,9.9
16-11-2006,1181.9,1227.95,1175.25,1220.05,1214.125243,1435848,18838,1743299302,312853,21.79,52.7,38.15
15-11-2006,1130,1184.4,1127,1178.15,1160.393043,886187,14373,1028325230,163768,18.48,57.4,48.15
14-11-2006,1137,1146.35,1122.6,1126.75,1133.049739,478756,5973,542454361,122413,25.57,23.75,-10.25
13-11-2006,1140,1141.9,1130,1137.3,1137.077098,201043,3557,228601391,19733,9.82,11.9,-2.7
10-11-2006,1126.3,1147.4,1124,1134.9,1137.045951,456395,7539,518942087,83800,18.36,23.4,8.6
09-11-2006,1130,1136,1120,1130.45,1130.144637,358407,6736,405051749,47005,13.11,16,0.45
08-11-2006,1104,1136.9,1094.25,1128,1117.083858,946793,10092,1057647177,357191,37.73,42.65,24
07-11-2006,1118,1119,1097.2,1105,1105.359832,314702,4984,347858950,64715,20.56,21.8,-13
06-11-2006,1124,1129.9,1105.6,1109.3,1117.412225,308962,4284,345237916,96986,31.39,24.3,-14.7
03-11-2006,1128.9,1134,1115,1126.3,1124.800891,361466,6434,406577279,17927,4.96,19,-2.6
02-11-2006,1120,1135,1107,1124,1120.938077,307203,6164,344355540,25873,8.42,28,4
01-11-2006,1095,1122,1088.5,1116.05,1107.914529,387360,7844,429161772,82008,21.17,33.5,21.05
31-10-2006,1098,1114,1081.1,1095.5,1099.583999,612224,12419,673191714,26390,4.31,32.9,-2.5
30-10-2006,1066.8,1102,1066.8,1094.7,1088.840932,499886,9062,544296338,59976,12,35.2,27.9
27-10-2006,1067.5,1095,1062.05,1093.15,1081.613248,385790,8036,417275575,44046,11.42,32.95,25.65
26-10-2006,1025,1071,1017.3,1065.8,1047.901209,527943,9208,553232108,83103,15.74,53.7,40.8
23-10-2006,1040,1043,1022,1024.45,1029.390838,137924,1862,141977702,35079,25.43,21,-15.55
21-10-2006,1059.75,1059.75,1035.25,1040.2,1041.979133,42555,1266,44341422,6200,14.57,24.5,-19.55
